flightNumber,from,to,arrival,departure,status
4213,Mumbai,Amritsar,9/26/2021,6/11/2021,On Time
2589,New Delhi,Agartala,4/19/2021,7/20/2021,Departing Early By 30mins
4273,Calicut,Pune,10/28/2021,9/2/2021,On Time
3958,Pune,Visakhapatnam,7/21/2021,7/1/2021,Departing Late By 30mins
2905,Coimbatore,Chennai,4/15/2021,12/11/2021,Departed
1054,Agartala,Srinagar,1/8/2022,7/29/2021,Arriving Early By 30mins
1839,Thiruvananthapuram,Ahmedabad,2/22/2021,8/13/2021,Departed
4785,Mumbai,Visakhapatnam,8/25/2021,7/1/2021,Departed
1092,Naqpur,Visakhapatnam,6/17/2021,6/21/2021,On Time
3413,Chandigarh,Mumbai,8/21/2021,6/27/2021,Arriving Early By 30mins
1961,Bangalore,New Delhi,12/13/2021,3/28/2021,Departing Late By 30mins
3398,Jammu,Hyderabad City,2/19/2022,1/23/2022,On Time
1727,Amritsar,Mangalore,10/3/2021,7/21/2021,Departed
2746,Patna,Indore,10/4/2021,8/30/2021,Arriving Late By 30mins
1391,Amritsar,Chandigarh,4/26/2021,11/20/2021,Arriving Early By 30mins
4181,Coimbatore,Hyderabad City,6/17/2021,4/2/2021,On Time
3503,Naqpur,Jammu,7/17/2021,1/21/2022,Arriving Early By 30mins
3796,Port Blair,Mangalore,11/26/2021,3/22/2021,Arriving Early By 30mins
4900,Srinagar,Mangalore,5/23/2021,11/10/2021,Arriving Early By 30mins
4003,Amritsar,Vasco da Gama,1/30/2022,9/27/2021,Arriving Late By 30mins
4857,Thiruvananthapuram,Jaipur,5/2/2021,6/13/2021,On Time
3465,Lucknow,Visakhapatnam,4/5/2021,5/13/2021,On Time
1545,Amritsar,New Delhi,9/1/2021,5/1/2021,Departing Late By 30mins
1186,Srinagar,Jaipur,6/8/2021,2/4/2022,Arriving Early By 30mins
2418,Mangalore,Naqpur,4/28/2021,12/8/2021,On Time
3900,Srinagar,Guwahati,3/2/2021,9/14/2021,Departed
4080,Amritsar,Madurai,9/11/2021,9/23/2021,Departing Late By 30mins
2776,Bangalore,Calicut,9/12/2021,3/3/2021,Departed
4466,Pune,Patna,2/7/2022,10/14/2021,Departing Early By 30mins
3185,Chandigarh,Siliguri,7/11/2021,5/1/2021,Arriving Early By 30mins
4754,Madurai,Naqpur,5/11/2021,10/20/2021,On Time
1249,Jaipur,Vasco da Gama,9/4/2021,9/14/2021,Arriving Late By 30mins
2832,Srinagar,Chandigarh,11/13/2021,7/13/2021,Departing Early By 30mins
3596,Pune,Srinagar,3/18/2021,2/12/2022,On Time
1509,Tiruchirappally,Calicut,8/2/2021,2/6/2022,Departing Late By 30mins
1501,Coimbatore,Chennai,9/26/2021,12/26/2021,On Time
1934,Indore,Indore,3/9/2021,12/28/2021,Arriving Early By 30mins
2307,New Delhi,Ahmedabad,3/3/2021,10/10/2021,Departing Late By 30mins
3585,Port Blair,Agartala,1/16/2022,10/2/2021,Departing Late By 30mins
2986,Mangalore,Kochi,9/12/2021,5/12/2021,Departing Late By 30mins
2185,Mumbai,Coimbatore,10/11/2021,4/18/2021,Arriving Late By 30mins
1617,Naqpur,Ahmedabad,9/17/2021,9/13/2021,Departed
3096,Guwahati,Hyderabad City,2/14/2022,12/29/2021,Departing Early By 30mins
4219,Mumbai,Kochi,2/27/2021,4/1/2021,Departing Late By 30mins
4932,Mumbai,Coimbatore,10/10/2021,12/21/2021,Arriving Early By 30mins
4579,Mumbai,Srinagar,10/23/2021,8/5/2021,Arriving Early By 30mins
1556,Coimbatore,Calicut,2/17/2022,6/6/2021,Arriving Early By 30mins
1640,Agartala,Thiruvananthapuram,9/1/2021,5/16/2021,Arriving Early By 30mins
1788,Kochi,Lucknow,12/26/2021,6/24/2021,Departing Late By 30mins
3740,Naqpur,Hyderabad City,7/25/2021,9/7/2021,Departed
4414,Chandigarh,Pune,8/9/2021,9/27/2021,Arriving Late By 30mins
4190,Tiruchirappally,Mumbai,12/14/2021,2/21/2022,Departed
4789,Tiruchirappally,Srinagar,4/20/2021,2/4/2022,Departed
4362,Srinagar,Amritsar,6/7/2021,12/20/2021,Arriving Late By 30mins
3196,Mumbai,Ahmedabad,8/2/2021,6/14/2021,Departed
4864,Siliguri,New Delhi,3/6/2021,1/1/2022,On Time
1542,Indore,Guwahati,11/28/2021,1/12/2022,Departed
3197,Naqpur,Chennai,4/23/2021,9/6/2021,Arriving Late By 30mins
3063,Siliguri,Patna,4/28/2021,8/23/2021,Departed
3168,Patna,Calicut,12/11/2021,6/22/2021,Arriving Early By 30mins
1652,Thiruvananthapuram,Lucknow,8/10/2021,1/2/2022,On Time
4043,Naqpur,Jammu,7/8/2021,1/24/2022,Departing Early By 30mins
3253,Lucknow,Guwahati,7/8/2021,12/5/2021,Arriving Early By 30mins
4329,Bangalore,Calicut,1/2/2022,8/5/2021,Departing Late By 30mins
2769,Hyderabad City,Calicut,11/10/2021,5/15/2021,Departed
1222,Jammu,Chennai,11/18/2021,8/19/2021,Departing Late By 30mins
1003,Guwahati,Indore,10/19/2021,5/22/2021,Departed
4645,Naqpur,Guwahati,10/22/2021,12/12/2021,On Time
2233,Visakhapatnam,Mangalore,2/22/2022,4/3/2021,Departing Early By 30mins
4439,Kolkata,Chennai,6/10/2021,9/26/2021,Arriving Late By 30mins
4626,Madurai,Vasco da Gama,5/19/2021,6/3/2021,Departing Early By 30mins
3056,Kolkata,Calicut,2/23/2021,11/21/2021,Departed
2808,Mangalore,Hyderabad City,11/20/2021,1/3/2022,Arriving Early By 30mins
3515,Jammu,Vasco da Gama,5/19/2021,12/7/2021,Departed
4078,Kochi,Jammu,4/3/2021,1/1/2022,Arriving Late By 30mins
1634,Siliguri,Agartala,3/17/2021,7/18/2021,Departed
1006,Jaipur,Mangalore,7/25/2021,7/30/2021,On Time
4938,Port Blair,Agartala,1/9/2022,1/25/2022,Departing Late By 30mins
1754,Siliguri,Patna,10/6/2021,7/4/2021,Departing Early By 30mins
3356,Naqpur,Bangalore,1/24/2022,5/17/2021,Departing Early By 30mins
3399,Mangalore,Jaipur,4/28/2021,3/7/2021,Departing Early By 30mins
4727,Visakhapatnam,Chennai,3/30/2021,12/6/2021,Arriving Early By 30mins
1295,Calicut,Mumbai,12/13/2021,2/1/2022,Departing Early By 30mins
3102,Coimbatore,Lucknow,8/30/2021,4/2/2021,Departing Early By 30mins
2704,Vasco da Gama,New Delhi,6/28/2021,7/9/2021,Departing Early By 30mins
3604,New Delhi,Bangalore,9/3/2021,5/19/2021,Departing Early By 30mins
3533,Hyderabad City,Visakhapatnam,5/13/2021,11/25/2021,Departed
1069,Lucknow,Kolkata,3/9/2021,2/9/2022,Departing Early By 30mins
3203,Thiruvananthapuram,Pune,8/25/2021,2/14/2022,Arriving Early By 30mins
2602,Jammu,Siliguri,12/26/2021,12/4/2021,Departing Early By 30mins
1540,Chennai,Tiruchirappally,3/1/2021,3/17/2021,Departed
4012,Mumbai,Jaipur,5/24/2021,10/17/2021,On Time
1981,Ahmedabad,Vasco da Gama,4/23/2021,9/17/2021,Arriving Late By 30mins
1090,Coimbatore,Amritsar,6/2/2021,8/9/2021,Departing Early By 30mins
4743,Hyderabad City,Coimbatore,12/19/2021,4/25/2021,Arriving Late By 30mins
4036,Madurai,Port Blair,10/31/2021,4/5/2021,Departing Late By 30mins
2300,Hyderabad City,Hyderabad City,7/21/2021,11/5/2021,Departing Late By 30mins
3136,Srinagar,Jaipur,1/17/2022,4/11/2021,Arriving Early By 30mins
3218,Siliguri,Chandigarh,10/15/2021,11/3/2021,Departed
2727,Srinagar,Thiruvananthapuram,5/7/2021,2/15/2022,Departed
2770,Naqpur,Tiruchirappally,8/26/2021,2/24/2021,Departed
3630,Mangalore,Amritsar,8/12/2021,9/9/2021,Departing Early By 30mins
2571,Madurai,Calicut,9/1/2021,11/23/2021,Arriving Early By 30mins
2872,Siliguri,Guwahati,2/17/2022,11/19/2021,On Time
1245,Indore,Visakhapatnam,4/12/2021,8/2/2021,Departing Late By 30mins
3407,Chandigarh,Chennai,8/20/2021,1/2/2022,Departing Late By 30mins
2923,Jaipur,Srinagar,5/14/2021,9/5/2021,Arriving Early By 30mins
1373,Port Blair,Hyderabad City,6/9/2021,8/27/2021,Departed
2585,Tiruchirappally,Tiruchirappally,2/12/2022,12/3/2021,On Time
4344,Mumbai,Jaipur,3/22/2021,3/4/2021,Arriving Early By 30mins
3354,Patna,Guwahati,6/17/2021,7/16/2021,On Time
2366,Indore,Jaipur,6/12/2021,6/25/2021,Arriving Late By 30mins
3336,Mangalore,Calicut,2/5/2022,12/31/2021,On Time
1123,Vasco da Gama,Vasco da Gama,9/17/2021,8/21/2021,Arriving Early By 30mins
1331,Vasco da Gama,Pune,12/20/2021,5/18/2021,Departed
3053,Kochi,Visakhapatnam,8/26/2021,10/17/2021,Departing Late By 30mins
1534,Chandigarh,Patna,7/25/2021,1/23/2022,Arriving Early By 30mins
2007,Patna,Port Blair,1/16/2022,8/25/2021,On Time
4975,Tiruchirappally,Amritsar,7/26/2021,12/9/2021,On Time
3842,Siliguri,Agartala,5/10/2021,12/7/2021,Departed
1586,Bangalore,Jammu,10/29/2021,7/17/2021,Departed
4187,Mumbai,Tiruchirappally,10/24/2021,5/31/2021,Departing Late By 30mins
2201,Jammu,Jammu,1/11/2022,12/6/2021,Arriving Early By 30mins
2491,Coimbatore,Coimbatore,9/7/2021,12/30/2021,Arriving Early By 30mins
2657,Bangalore,Ahmedabad,2/1/2022,3/31/2021,Arriving Late By 30mins
3410,Pune,Siliguri,11/7/2021,2/16/2022,On Time
1649,Patna,Coimbatore,3/1/2021,7/31/2021,Departing Early By 30mins
3691,New Delhi,Jammu,7/4/2021,3/21/2021,Departed
2425,Amritsar,Bangalore,1/25/2022,10/16/2021,Departed
2080,Kolkata,Mangalore,5/8/2021,6/15/2021,Arriving Late By 30mins
1628,Naqpur,Port Blair,11/2/2021,11/27/2021,Departing Early By 30mins
1017,Amritsar,Amritsar,7/6/2021,11/14/2021,Arriving Late By 30mins
4798,Ahmedabad,Chennai,7/7/2021,6/5/2021,Arriving Late By 30mins
2118,Vasco da Gama,Srinagar,1/15/2022,2/15/2022,Departing Early By 30mins
1271,Chandigarh,Coimbatore,5/20/2021,11/3/2021,Departing Late By 30mins
4714,Mumbai,Madurai,3/14/2021,1/29/2022,Arriving Late By 30mins
2459,Agartala,Naqpur,12/20/2021,10/18/2021,Departing Early By 30mins
3889,Chandigarh,Kolkata,9/13/2021,9/20/2021,Arriving Late By 30mins
4393,Agartala,Kolkata,5/31/2021,7/28/2021,Departing Early By 30mins
4640,Agartala,Kolkata,7/21/2021,3/3/2021,On Time
2070,Kolkata,Lucknow,3/29/2021,11/27/2021,Arriving Early By 30mins
4978,Kochi,Kolkata,7/17/2021,1/9/2022,On Time
4725,Thiruvananthapuram,Guwahati,8/18/2021,3/4/2021,Departed
3724,Lucknow,Hyderabad City,1/8/2022,1/25/2022,Departed
3863,Mumbai,Vasco da Gama,11/14/2021,9/7/2021,Arriving Late By 30mins
1247,Ahmedabad,Patna,1/28/2022,8/23/2021,On Time
2361,Chandigarh,Agartala,6/19/2021,12/19/2021,Departing Early By 30mins
1118,Siliguri,Ahmedabad,6/26/2021,9/19/2021,Departing Late By 30mins
2352,Pune,Jammu,1/12/2022,5/14/2021,On Time
4508,Srinagar,Lucknow,9/1/2021,11/22/2021,Arriving Late By 30mins
4331,Thiruvananthapuram,Hyderabad City,7/6/2021,9/6/2021,Departing Late By 30mins
4539,Naqpur,New Delhi,9/8/2021,2/6/2022,On Time
4433,Amritsar,Patna,7/18/2021,4/7/2021,Departing Late By 30mins
2103,Thiruvananthapuram,Thiruvananthapuram,7/26/2021,4/19/2021,Departing Early By 30mins
1364,Bangalore,Mumbai,6/12/2021,6/29/2021,Arriving Early By 30mins
4768,Coimbatore,Guwahati,6/3/2021,3/9/2021,On Time
4474,Calicut,Jaipur,8/8/2021,3/21/2021,On Time
4928,Visakhapatnam,Indore,5/23/2021,7/14/2021,Arriving Late By 30mins
3171,Pune,Tiruchirappally,11/20/2021,3/13/2021,Departing Early By 30mins
3830,New Delhi,Kochi,9/29/2021,7/15/2021,On Time
2890,Chandigarh,Port Blair,10/24/2021,11/30/2021,Arriving Early By 30mins
3694,Patna,Coimbatore,9/14/2021,8/11/2021,On Time
4738,Calicut,Guwahati,1/4/2022,12/29/2021,Arriving Late By 30mins
1684,Vasco da Gama,Kochi,9/30/2021,9/14/2021,Departing Early By 30mins
3447,Tiruchirappally,Pune,10/7/2021,10/3/2021,Departing Late By 30mins
3479,Guwahati,Siliguri,11/6/2021,4/26/2021,Arriving Late By 30mins
2913,Pune,Lucknow,7/19/2021,9/14/2021,On Time
1993,Mangalore,Lucknow,6/5/2021,9/11/2021,Arriving Early By 30mins
3825,Siliguri,Coimbatore,9/10/2021,7/31/2021,Departed
4739,Coimbatore,Calicut,9/21/2021,12/17/2021,Departed
2844,Jammu,Ahmedabad,7/10/2021,6/1/2021,On Time
1385,Indore,Jammu,7/18/2021,11/26/2021,Departing Early By 30mins
1139,Pune,Kochi,7/14/2021,6/4/2021,Departing Early By 30mins
1061,Thiruvananthapuram,Tiruchirappally,1/8/2022,12/2/2021,On Time
3813,Port Blair,Tiruchirappally,12/30/2021,4/13/2021,Departed
1717,Indore,Jammu,1/10/2022,10/31/2021,Arriving Late By 30mins
3196,Siliguri,Patna,12/17/2021,6/3/2021,On Time
3977,Hyderabad City,Madurai,5/6/2021,9/12/2021,Arriving Early By 30mins
2876,Tiruchirappally,Mangalore,11/15/2021,11/15/2021,Departed
3457,Siliguri,Madurai,3/19/2021,4/26/2021,Arriving Late By 30mins
1817,Mangalore,Calicut,7/22/2021,9/27/2021,Departing Late By 30mins
1674,Hyderabad City,Agartala,7/7/2021,4/26/2021,On Time
2330,Calicut,Vasco da Gama,8/19/2021,12/28/2021,Departed
1536,Port Blair,Guwahati,4/21/2021,4/19/2021,Departing Late By 30mins
4951,Jaipur,Agartala,5/14/2021,8/11/2021,Arriving Early By 30mins
4234,Hyderabad City,Bangalore,4/25/2021,9/14/2021,Departing Late By 30mins
4277,Guwahati,Patna,7/14/2021,4/28/2021,Departing Late By 30mins
2079,Thiruvananthapuram,Madurai,5/22/2021,3/16/2021,Departing Early By 30mins
3966,Srinagar,Guwahati,11/16/2021,5/11/2021,Departed
1144,Bangalore,Coimbatore,1/9/2022,1/5/2022,Arriving Early By 30mins
4069,Mumbai,Mumbai,5/10/2021,2/13/2022,Departing Early By 30mins
2473,Pune,Indore,2/11/2022,4/14/2021,Departing Early By 30mins
2478,Pune,Chennai,9/4/2021,8/8/2021,Arriving Early By 30mins
1272,Guwahati,Bangalore,4/30/2021,6/9/2021,Departed
2742,Thiruvananthapuram,Coimbatore,7/27/2021,9/10/2021,Departing Early By 30mins
2100,Chennai,Jammu,6/5/2021,11/2/2021,Arriving Early By 30mins
3154,Guwahati,Hyderabad City,2/16/2022,8/22/2021,Arriving Early By 30mins
2245,Vasco da Gama,Lucknow,9/14/2021,9/20/2021,Arriving Late By 30mins
3320,Calicut,Lucknow,8/2/2021,7/21/2021,On Time
1266,Patna,Lucknow,6/8/2021,7/6/2021,Arriving Early By 30mins
3415,Indore,Amritsar,11/27/2021,10/30/2021,Arriving Late By 30mins
1815,Guwahati,Jaipur,3/5/2021,12/26/2021,Arriving Late By 30mins
1253,Chennai,Pune,10/15/2021,5/18/2021,Arriving Late By 30mins
2568,Coimbatore,Siliguri,5/13/2021,8/6/2021,Departing Early By 30mins
4678,Kolkata,Visakhapatnam,12/20/2021,6/17/2021,Departing Late By 30mins
1219,Bangalore,Hyderabad City,2/24/2021,1/6/2022,On Time
2434,Ahmedabad,Tiruchirappally,11/29/2021,1/31/2022,Departing Late By 30mins
1567,Chennai,Mangalore,8/9/2021,6/17/2021,Departed
1549,Amritsar,Chennai,1/10/2022,1/9/2022,Departed
1907,Kochi,Indore,6/27/2021,4/29/2021,Arriving Late By 30mins
2131,Lucknow,Guwahati,7/20/2021,6/21/2021,Departing Late By 30mins
3761,Siliguri,Indore,1/15/2022,9/12/2021,Arriving Late By 30mins
4103,Indore,Naqpur,3/11/2021,1/21/2022,Arriving Early By 30mins
1203,Kochi,Guwahati,12/7/2021,9/16/2021,Departing Early By 30mins
2363,Thiruvananthapuram,Coimbatore,5/9/2021,12/24/2021,Departing Late By 30mins
4988,Patna,Calicut,11/24/2021,1/25/2022,Departing Early By 30mins
1416,Indore,Calicut,2/25/2021,8/29/2021,Departing Early By 30mins
4481,Visakhapatnam,Mangalore,5/30/2021,9/26/2021,Departing Early By 30mins
4671,Mumbai,Vasco da Gama,9/1/2021,3/14/2021,Arriving Early By 30mins
1661,Indore,New Delhi,9/18/2021,3/2/2021,Arriving Early By 30mins
4397,New Delhi,Calicut,9/27/2021,6/15/2021,Departing Late By 30mins
4634,Port Blair,Bangalore,12/18/2021,6/20/2021,Departed
2443,Kolkata,Thiruvananthapuram,3/23/2021,7/4/2021,Arriving Late By 30mins
2070,Hyderabad City,Indore,9/15/2021,12/4/2021,Departed
1937,Chennai,Coimbatore,3/28/2021,8/19/2021,Arriving Late By 30mins
2828,Guwahati,Thiruvananthapuram,5/20/2021,3/6/2021,Departing Late By 30mins
3733,Chennai,Thiruvananthapuram,11/30/2021,4/6/2021,Arriving Early By 30mins
3320,Chennai,Visakhapatnam,7/27/2021,1/8/2022,Arriving Late By 30mins
1154,Srinagar,Pune,6/11/2021,6/17/2021,Departed
4630,Siliguri,Indore,12/18/2021,4/6/2021,Arriving Late By 30mins
1825,Lucknow,Siliguri,2/14/2022,12/23/2021,Departing Early By 30mins
1304,Bangalore,New Delhi,10/26/2021,9/18/2021,Departing Late By 30mins
3470,Bangalore,Kolkata,10/25/2021,12/26/2021,Departing Early By 30mins
4514,Bangalore,Madurai,11/27/2021,1/2/2022,Arriving Late By 30mins
2291,Srinagar,Visakhapatnam,9/25/2021,10/29/2021,Arriving Late By 30mins
4858,Siliguri,Jammu,11/18/2021,1/2/2022,Departing Early By 30mins
1882,Indore,Pune,9/27/2021,4/17/2021,Departed
4752,Naqpur,Kochi,9/14/2021,7/30/2021,Departed
2289,Thiruvananthapuram,Mangalore,9/25/2021,12/2/2021,Arriving Early By 30mins
4783,Bangalore,Kochi,3/27/2021,2/19/2022,Departing Early By 30mins
1518,Mumbai,Pune,6/8/2021,8/2/2021,On Time
1473,Thiruvananthapuram,Jaipur,4/11/2021,10/4/2021,Departing Early By 30mins
4852,Chandigarh,Visakhapatnam,8/19/2021,3/28/2021,On Time
3194,Bangalore,Srinagar,1/4/2022,7/14/2021,On Time
4158,Port Blair,Siliguri,8/17/2021,6/18/2021,Arriving Early By 30mins
4570,Pune,Visakhapatnam,7/19/2021,3/23/2021,Arriving Early By 30mins
3258,Pune,Bangalore,9/24/2021,1/14/2022,Departed
4153,Patna,Thiruvananthapuram,6/12/2021,6/30/2021,Departed
3243,Chennai,Coimbatore,3/24/2021,8/23/2021,Departed
2336,Chandigarh,Kochi,11/26/2021,7/10/2021,Departing Early By 30mins
3470,Coimbatore,Mumbai,5/5/2021,5/16/2021,Arriving Late By 30mins
2893,Lucknow,Jaipur,11/26/2021,9/21/2021,Arriving Early By 30mins
2407,Port Blair,Vasco da Gama,9/14/2021,7/4/2021,Departing Early By 30mins
2809,Mangalore,Siliguri,9/19/2021,4/22/2021,Departing Early By 30mins
1132,Siliguri,New Delhi,2/20/2022,8/17/2021,Departed
4128,New Delhi,Port Blair,9/21/2021,4/21/2021,Arriving Early By 30mins
1437,Siliguri,Patna,7/3/2021,2/7/2022,Departing Late By 30mins
1872,Srinagar,Srinagar,7/3/2021,8/25/2021,Departing Early By 30mins
1106,Vasco da Gama,Kolkata,9/3/2021,11/20/2021,Departed
3276,Kochi,Calicut,11/13/2021,9/27/2021,Departed
4008,Lucknow,Indore,11/24/2021,4/13/2021,Departing Early By 30mins
3968,Guwahati,Jammu,10/5/2021,11/6/2021,Departing Early By 30mins
3860,Calicut,New Delhi,7/9/2021,2/15/2022,Departing Late By 30mins
3205,Thiruvananthapuram,Mangalore,8/7/2021,7/13/2021,Departing Early By 30mins
1689,Patna,Mangalore,12/19/2021,12/29/2021,On Time
4359,Madurai,Bangalore,1/6/2022,3/20/2021,Departed
2458,Patna,Amritsar,11/22/2021,7/30/2021,Departing Early By 30mins
3561,Guwahati,Madurai,7/15/2021,10/15/2021,On Time
1946,Naqpur,Tiruchirappally,10/18/2021,3/3/2021,Departing Late By 30mins
2848,Chennai,Jammu,2/4/2022,5/7/2021,Departing Late By 30mins
3730,Ahmedabad,Jaipur,6/21/2021,7/10/2021,On Time
3751,Siliguri,Mumbai,7/26/2021,6/14/2021,Arriving Late By 30mins
1875,Coimbatore,Guwahati,4/19/2021,3/8/2021,On Time
3240,Srinagar,Patna,2/25/2021,12/22/2021,Arriving Early By 30mins
3744,Patna,Guwahati,9/14/2021,7/3/2021,Departing Late By 30mins
2932,Jaipur,Amritsar,9/25/2021,4/18/2021,On Time
1145,Vasco da Gama,Calicut,8/3/2021,7/7/2021,On Time
4972,Port Blair,Coimbatore,9/25/2021,10/8/2021,Departing Early By 30mins
1527,Madurai,Jaipur,2/13/2022,11/4/2021,Arriving Early By 30mins
2854,Ahmedabad,Jaipur,7/17/2021,7/4/2021,Departing Late By 30mins
3617,Hyderabad City,Ahmedabad,2/19/2022,1/1/2022,Departed
4238,Amritsar,Coimbatore,9/27/2021,4/13/2021,Departing Early By 30mins
2408,Port Blair,Pune,7/3/2021,12/7/2021,Departing Early By 30mins
3484,Agartala,Mangalore,11/25/2021,2/4/2022,Arriving Late By 30mins
3428,New Delhi,New Delhi,9/4/2021,3/15/2021,Departing Late By 30mins
4942,Visakhapatnam,Patna,2/11/2022,12/21/2021,Departed
4262,Chandigarh,Mangalore,12/16/2021,1/10/2022,Departed
3820,Indore,Kochi,6/14/2021,4/27/2021,Arriving Late By 30mins
1180,Mumbai,Madurai,6/17/2021,1/6/2022,Arriving Late By 30mins
2696,Madurai,Tiruchirappally,2/16/2022,8/17/2021,Arriving Late By 30mins
4360,Madurai,Chandigarh,7/20/2021,9/6/2021,Departed
2814,Srinagar,Naqpur,4/14/2021,12/20/2021,Arriving Late By 30mins
3881,Mangalore,Srinagar,5/11/2021,11/23/2021,On Time
3922,Mumbai,Siliguri,10/11/2021,10/15/2021,Departing Early By 30mins
4575,Port Blair,Amritsar,4/29/2021,8/20/2021,Departing Late By 30mins
2726,Calicut,Kolkata,11/19/2021,6/8/2021,Departing Late By 30mins
1227,Lucknow,Kochi,7/6/2021,3/18/2021,Departing Early By 30mins
4523,Lucknow,Madurai,8/29/2021,12/7/2021,Departed
2792,Port Blair,Hyderabad City,12/6/2021,1/5/2022,Departing Late By 30mins
1132,Jaipur,Indore,10/27/2021,7/30/2021,On Time
2155,Guwahati,Bangalore,7/6/2021,11/27/2021,Departing Early By 30mins
1527,Indore,Naqpur,7/9/2021,3/7/2021,Departing Late By 30mins
2898,Jammu,Amritsar,7/26/2021,6/18/2021,Departed
3305,Vasco da Gama,Pune,9/23/2021,3/14/2021,Departed
4461,Naqpur,Lucknow,4/23/2021,12/18/2021,On Time
1968,Mumbai,Siliguri,2/20/2022,8/24/2021,Departing Early By 30mins
4516,Siliguri,Pune,4/20/2021,1/16/2022,Departing Late By 30mins
2144,Tiruchirappally,Coimbatore,5/4/2021,10/22/2021,Arriving Late By 30mins
4872,Tiruchirappally,Lucknow,9/26/2021,9/29/2021,On Time
4327,Guwahati,Bangalore,3/24/2021,5/20/2021,Departing Early By 30mins
1375,Ahmedabad,Kolkata,1/12/2022,9/13/2021,Arriving Late By 30mins
4270,Lucknow,Kolkata,12/28/2021,11/9/2021,Arriving Early By 30mins
4477,Kochi,Chandigarh,6/10/2021,6/5/2021,Departing Early By 30mins
4540,Kolkata,Kochi,7/27/2021,8/15/2021,Departing Late By 30mins
1012,Siliguri,Chennai,11/5/2021,9/24/2021,Arriving Late By 30mins
1173,Tiruchirappally,Mangalore,7/10/2021,9/3/2021,Departing Early By 30mins
4580,Madurai,Thiruvananthapuram,2/28/2021,11/26/2021,Arriving Early By 30mins
1076,Coimbatore,Port Blair,4/12/2021,1/25/2022,Departed
3934,Vasco da Gama,Amritsar,3/18/2021,11/10/2021,Departing Late By 30mins
2066,Naqpur,Chandigarh,9/11/2021,3/22/2021,Departing Early By 30mins
2291,Pune,New Delhi,4/12/2021,7/28/2021,Arriving Early By 30mins
2472,Mangalore,Coimbatore,3/21/2021,7/12/2021,Arriving Early By 30mins
4934,Srinagar,Jaipur,8/20/2021,8/16/2021,Departing Late By 30mins
1961,Jaipur,Agartala,3/7/2021,8/15/2021,Departed
2888,New Delhi,Tiruchirappally,3/11/2021,3/7/2021,Departing Late By 30mins
4812,Ahmedabad,Mangalore,10/29/2021,11/10/2021,Departing Early By 30mins
2997,Madurai,Thiruvananthapuram,9/18/2021,7/23/2021,On Time
2286,Pune,Chennai,7/16/2021,8/2/2021,Departing Late By 30mins
